Title	Publisher/Author	F	GRL	Box	#books	minlevel	maxlevel	#ords	keyword
Cloudy With A Chance of Meatballs	Barrett-Houghton-Mifflin	F	Light Blue	73	10	28	28	250	
Cloudy With A Chance of Meatballs	Scholastic	F	Yellow	109	2	28	30	250	
Clucky	Rigby PM	F	Orange	47	1	15	15		
Coco's Bell	Rigby	F	Orange	28	13	13	13		
Cody Smith and the Holiday Mysteries	Perfection Learning	F	Light Blue	78	8	36	37		
Cody Smith Mystery - Bigfoot in New York City	Perfection	F	Light Blue	36	8	36	37		
Colors In the City	Kaeden Group	F	Dark Blue	27	2	2	2	61	
Come and Play, Cat	Pioneer Valley	F	Dark Blue	90	1	4	4	45	
Come Back, Pip	Rigby	F	Red	12	9	17	17		
Come for a Swim	Wright Group	F	Orange	1	1	10	10		
Come on, Tim	Rigby PM	F	Orange	13	4	12	12	198	
Come to My House	Rigby	F	Light Blue	19	6				
Come to My House - Children's Poetry	Rigby Greetings	F	Light Blue	4P	2				
Concert Night	Literacy 2000	F	Red	66	2	20	20	250	
Cookie's Week	Scholastic	F	Green	63	3	10	10	84	
Cool Moves	Rigby	F	Yellow	122	11	29	29		
Countdown	Literacy Tree	F	Green	34	4	8	8		
Cousins	Scholastic	F	Purple	64	10				
Cows in the Garden	Rigby PM	F	Orange	6	1	11	11		
Coyote Plants A Peach Tree	Owen Publishers	F	Red	1	4	15	16	233	
Crosby Crocodiles' Disguise	Literacy 2000	F	Red	63	1	20	20	250	
Crossing the Divide	Sundance	F	Purple	61	2				
Crunch, Munch, Lunch (Poetry)	Literacy 2000	F	Yellow	1P	4	28	30		
Curiosity Falls	Book Treks	F	Neon Red	9	3	60	60		
Dad	Rigby PM Collection	F	Dark Blue	9	13	1	1	24	
Dad Didn't Mind At All	Literacy 2000	F	Green	49	5	10	10	127	
Dad's Bike	Rigby Literacy 2000	F	Green	36	4	8	8		
Dad's Pasta	Rigby	F	Red	58	4	20	20		
Dan, The Flying Man	Shortland Publication	F	Orange	1	2	4	4		
Dancing Shoes	Literacy Tree	F	Dark Blue	41	28	2	2	25	
Danger in the Parking Lot	Rigby	F	Red	19	1	18	18		
Daniel	Literacy Tree	F	Red	49	7	20	20	161	
Daniel's Basketball Team	Dominie Collection	F	Green	34	5	7	7		
Danny's Dollars	Dominie 	F	Green	2	3	5	5	88	
Dark Zones	Rigby	F	Light Blue	7					
David Went Where on Vacation	Perfection Learning	F	Light Blue	44					
Day of Glory	Scholastic	F	Purple	42	2				
Dear Diary	Rigby	F	Yellow	129	2	28	30	250	
Dear Mr. Henshaw	Cleary	F	Lime	13	20				
Dear Sam, Dear Ben	ETA Cusine-Book Blazers	F	Light Blue	80	12				
Dear Santa	Literacy Tree	F	Dark Blue	48	24	2	2	49	
Deep in the Forest	Houghton Mifflin	F	Dark Blue	9	5	1	1	0	
Definity Cool	Scholastic	F	Purple	57	4				
Diaster at Lunker Lake	Perfection Learning	F	Lime	53	12	40	40		
Diaster in Room 101	Troll Associates	F	Yellow	135	3				
Dilly Duck and Dally Duck	Rigby	F	Green	27a	2	7	7		
Dinner at Alberta's	Delton	F	Yellow	129	4	28	30		
Dinosaur Bob and his Adventures with the Family Lazardo	Scholastic	F	Light Blue	5	11	30	33		
Dinosaur Bob and His Adventures with the Family Lazardo	Scholastic	F	Light Blue	81	5	30	34		
Dinosaur Girl	Literacy Tree Rigby	F	Light Blue	50	12	30	30	250	
Dinosaur Olympics	ETA	F	Yellow	117	5	28	28		
Dinosaur Party	Rigby	F	Dark Blue	37	8	2	2	25	
Disaster Quarterback	Scholastic	F	Light Blue	20	5				
Diving at the Pool	Rigby PM	F	Red	68	4	20	20	519	
Dizzy Lizzy	Literacy 2000	F	Green	38	1	8	8		
Doctor Boondoggle	Wright Group	F	Dark Blue	78b	5	3	4	52	
Doctor DeSoto	Scholastic	F	Light Blue	38	2	38	38		
Dogs and Danger	Scholastic	F	Lime	37	5				
Dog's Diary	Sails - Rigby	F	Yellow	73	3	24	24		
Dogsong	Puffin	F	Purple	50	3				
Dogstar	Literacy Tree	F	Red	24	3	18	20		
Dogstar	Rigby	F	Yellow	6	3	18	20	250	
Donavan's Word Jar	Scholastic	F	Light Blue	19	5				
Donkey	Literacy Tree Rigby	F	Light Blue	71	5	28	28		
Don't Be Silly	Dominie Collection	F	Green	39	5	7	8	76	
Don't Eat Too Much Turkey	Cohen	F	Yellow	5	6	18	20	250	
Don't forget 	Literacy Tree	F	Green	7a	39	5	6	80	
Don't Leave Anything Behind	Rigby	F	Dark Blue	64	14	3	3	22	
Don't Wake the Baby	Literacy Tree	F	Dark Blue	45	26	2	2	18	
Don't You Know There's A War On?	Scholastic	F	Lime	67	1	40	40		
Door in the Wall	deAngeli	F	Lime	60	10	44	44		
Doug: The Funny Mysteries - Bad to the Bone	Campbell	F	Light Blue	22	3				
Down by the sea	Rigby PM	F	Orange	3A	1	11	11		
Down the Slide	Rigby	F	Dark Blue	77	4				
Dr. MacTavish's Creature	Rigby	F	Yellow	80	4	25	25		
Dracula	Scholastic	F	Light Blue	22	1				
Dracula Is A Pain In The Neck	Scholastic	F	Light Blue	22					
Dragon with a Cold	Sunshine Books	F	Orange	32	10	14	14	149	
Dragons	Literacy 2000	F	Light Blue	13	5	38	38	250	
Dragon's Gate	Trophy Newberry	F	Purple	1	2	60	60		
Dreaming	Rigby	F	Dark Blue	46	7	2	2	23	
Dressed Up Sammy	Kaeden 	F	Green	32	7	7	7	91	
Dressing Up	Rigby Smart Start	F	Dark Blue	40	3	2	2	25	
Dressing Up	Literacy 2000	F	Dark Blue	68	30	3	3	31	
Dressing-Up	Rigby PM Starters One	F	Dark Blue	12	18	1	1	32	
Drums: The World's Heatbeat	Book Treks	F	Neon Red	14	6				
Dry and Snug and Warm	Wright Group	F	Orange	14	4	12	12		
Dry and Snug and Warm	The Book Bank	F	Orange						
Duck Magic	Literacy 2000	F	Light Blue	71	4	28	28	250	
Ducks on the Run	Rigby	F	Red	12	6	17	17		
Each Peach Pear Plum	Scholastic	F	Orange	7	9	11	12		
Eating	Wright	F	Dark Blue	27	6	2	2	29	
Ebenezer and the Sneeze	Wright Group	F	Orange	12	1	11	12		
Echohawk	Durran	F	Neon Red	20	1	60	60		
Edgar's Badger's Balloon Day	Mondo	F	Red	34	13	18	20		
Edward's Night Light	Gage Publishers	F	Yellow	135	4				
Elephant Upstairs	Electronic Education	F	Orange						
Ella Enchanted	Trophy Newberry	F	Purple	63	6				
Elmo's Elephants	Book Blazers	F	Lime	41	11				
Emily Can't Sleep	Pioneer Valley Press	F	Green	30	1	7	7	124	
Emma In Winter	Dell	F	Neon Red	21	1				
Emma's Problem	Literacy 2000	F	Orange	38	5	14	14	190	
Encyclopedia Browm Carries On	Sobol	F	Light Blue	33	5	38	38		
Encyclopedia Brown Sets the Pace	Sobel	F	Light Blue	33	10				
Encyclopedia Brown Solves Them All	Sobel	F	Light Blue	33	6				
Encyclopedia Brown The Case of the Exploding Plumbing	Sobol	F	Light Blue	33	2	38	38		
Eric's Travel Diary	Rigby	F	Yellow	122	7	29	29		
Escape to Danger	Book Treks	F	Purple	19	4	50	50		
Fabulous Freckles	Literacy 2000	F	Red	66	4	20	20	250	
Family Photos	Literacy Tree	F	Green	57	37	10	10	106	
Family Soccer	Kaeden Group	F	Green	2	5	5	5	55	
Family Vacation	Electronic Education	F	Green						
Famous Animals	Literacy Tree Rigby	F	Light Blue	13	6	34	34	250	
Fantail, Fantail	Learning Media	F	Green	5	4	5	5	67	
Fantastic Mr. Fox	Dahlstedt	F	Light Blue	38	3	38	38		
Farmer Joe's Hot Day	Scholastic	F	Red	72	2				
Fast, Faster, Fastest	Twig Books	F	Dark Blue	80	7	4	4	66	
Father Bear goes fishing	Rigby PM	F	Green	1A	20	4	5	98	
Father Bear's Surprise	Rigby	F	Orange	28	3	13	13	224	
FCPS -  No recess	FCPS	F	Orange	rm 332	2				
FCPS -  The Three Little Pigs	FCPS	F	Orange	rm332	5	7	7	159	
FCPS -  Worms Are Everywhere	FCPS	F	Orange	rm 332	4				
FCPS- I'm a Big Brother	FCPS	F	Orange	rm 332	4	    	    		
FCPS Jack's Seed	FCPS	F	Orange	rm 332	5				
FCPS Meeka Goes Swimming	FCPS	F	Orange	rm 332	4				
FCPS My Five Senses	FCPS	F	Green	57	1				
FCPS My New School	FCPS	F	Green	57	5	7	7	63	
FCPS On the Playground	FCPS	F	Green	57	4				
FCPS Splash	FCPS	F	Green	57	1				
FCPS We Went to the Movies	FCPS	F	Green	57	1				
FCPS What Is it?	FCPS	F	Green	57	1				
Feeding the lambs	Rigby PM	F	Orange						
Filbert The Fly	Literacy Tree	F	Dark Blue	69	10	3	4	28	
Fire and Wind	Rigby PM Collection	F	Light Blue	with tales	5	34	34	863	
Fire and Wind	Rigby	F	Yellow	75	3	24	24		
Fire at the Triangle Factory	First Avenue Edition	F	Light Blue	10	3				
Fire! Fire!	Rigby PM	F	Green	31	10	8	8		
Firelight Secrets	Rigby	F	Yellow	113	4	28	28		
Firewatch	Perfection Learning	F	Lime	28	10	40	40		
First and Last	Dominie Press	F	Dark Blue	78b	5	3	4	44	
First Day at School	Rigby Collection	F	Green	37	5	8	8	131	
First Flight	Rigby PM	F	Red	39	5	18	18		
Fishing	Rigby	F	Dark Blue	53	30	3	3	63	
Five	Electronic Education	F	Orange						
Five Little Monkeys	Mondo	F	Green	38	1	8	8		
Five Little Monkeys	Mondo	F	Orange	2	1	10	10		
Five Little Peppers and How They Grew	Scholastic	F	Light Blue	66	9	40	40		
Five Little Peppers and How They Grew	Scholastic	F	Purple	38	9	54	54		
Flat Stanley		F	Light Blue	  	3				
Fluffy Chicks	Wright Group	F	Green	32	5	7	7	50	
Flying Fingers	Literacy Tree	F	Red	55	1	20	20		
Follow the leader	Windmill Books	F	Dark Blue	34	3	2	2	15	
Food is Fun	Rigby	F	Orange	37	7	14	15		
Footprints	Literacy Tree	F	Green	61	28	10	10	93	
For Honey	Perfection Learning	F	Lime	10	1	40	40		
Fossil Find	Perfection Learning	F	Light Blue	12	5				
Four ice creams	Rigby	F	Dark Blue	55	39	3	3	61	
Four-Legged Friends	Literacy Tree Rigby	F	Light Blue	50	7	34	34	250	
Fox and His Friends	Scholastic	F	Yellow	4	3	18	20		
Fox Be Nimble	Scholastic	F	Red	67	3	18	20		
Fox on Wheels	Scholastic	F	Red	67	4	18	20		
Freckle Juice	Blume	F	Yellow	123	18	28	30		
Fred Goes Shopping	Sundance	F	Orange						
Fred Series- Fred Goes Shopping	Sundance	F	Red	9	7	16	16		
Fred Series- Fred Joins the Band	Sundance	F	Red	9	20	16	16		
Fred Series- Fred's Big Lunch	Sundance	F	Red	9	8	16	16		
Fred Series- Fred's Little Snack	Sundance	F	Red	9	12	16	16		
Fred Series- Fred's Polka Dot Sock	sundance	F	Red	9A	3	16	16		
Fred Series- Fred's Weekend	Sundance	F	Red	9A	8	16	16		
Fred Series- Guess What Today Is?	Sundance	F	Orange	9A	7	13	14		
Fred Series- Meet Messy Fred	Sundance	F	Red	9A	6	16	16		
Freddie the Frog	Troll Associates	F	Green	12	4	5	6	132	
Freedom Crossing	Scholastic-Clark	F	Neon Red		7	63	63		
Friendly Snowman	Troll Associates	F	Orange						
Friends	Sprouts	F	Dark Blue	96	12	4	4	42	
Friends	Electronic Education	F	Orange						
Friends are Forever	Literacy 2000	F	Red	55	4	20	20	250	
Frog and Toad Are Friends	Scholastic	F	Yellow	68	1	24	24		
Frog can jump	Wright Group	F	Dark Blue	60	6	3	3		
Frogs Can Jump	The Wright Group	F	Dark Blue	62	6	3	3	41	
From Corey Gordon's Extremely Private Diary	Book Treks	F	Purple	23	12				
From the Hillside	Rigby	F	Light Blue	6	12				
From the Mixed-up Files of Mrs. Basil E. Frankweiler	Konigsburg	F	Lime	63	1	40	40		
Fruit Salad	Literacy Tree	F	Dark Blue	2	22	1	1	23	
Fun	Kaeden Group	F	Green	23	3	6	6	45	
Fun At the Amusement Park	Kaeden	F	Orange	13	1	12	12		
Fun in Kansas	Electronic Education	F	Orange						
Fun in the Snow	Footprints	F	Dark Blue	61	5	3	3	56	
Funny Business 	Rigby	F	Yellow	79	9	25	26		
Funny Dog Facts	ETA Cuisenaire	F	Red	61	2	20	20		
Fuzz and the Glass Eye	Literacy Tree	F	Light Blue	43	10				
Gabby	Pioneer Valley	F	Dark Blue	81	6	4	4		
Gabby and the Christmas Tree	Pioneer Valley Press	F	Orange	5	1	11	11	105	
Gabby goes up and down	Pioneer Valley	F	Dark Blue	44	6	2	2	42	
Gabby is Hungry	Pioneer Valley	F	Dark Blue	81	6	4	4	78	
Gabby Runs Away	Pioneer Valley Press	F	Orange	5	1	11	11	220	
Gabby Visits Buster	Pioneer Valley	F	Dark Blue	44	5	2	2	55	
Gail and Me	Literacy 2000	F	Yellow	59	3	23	24	250	
Gallo and Zorro	Literacy 2000	F	Red	43	2	18	20	250	
Garbage Juice for Breakfast	Giff	F	Light Blue	5	1	30	34		
Garbage Juice for Breakfast	Giff	F	Yellow	129	1	30	34		
Gasp!	Mondo	F	Red	24	8	18	18		
George and Martha	Scholastic	F	Yellow	109	8	28	28		
George Washington Socks	Scholastic	F	Purple	9	14				
George's Show and Tell	Pioneer Valley Press	F	Green	32	3	7	7	133	
Gerry's House	Rigby	F	Orange		3				
Getting Ready for the Ball	Literacy Tree	F	Dark Blue	69	18	3	3	27	
Getting There	Wright Group	F	Dark Blue	61	5	3	3		
Gibbon Island	Rigby	F	Red	19	2	18	18		
Gifts for Dad	Kaeden Group	F	Orange	31	1	14	14	166	
Go Back to Sleep	Literacy Tree	F	Green	32	6	8	8	74	
Gobble, Gobble, Glup, Glup	Rigby	F	Red	nm1	3				
Goblins in the Castle	Aladdin	F	Purple	54	1	50	50		
Going barefoot and other poems	Book Shelf	F	Yellow	135	6				
Going Fishing	Literacy 2000	F	Green	32	3	8	8	26	
Going Home	Bantam	F	Purple	64	3				
Going on Vacation	Rigby PM Plus	F	Dark Blue	4	17	1	1	40	
Going Out	Rigby	F	Dark Blue	36	14	2	2	48	
Going Shopping	Sprout	F	Dark Blue	100	12	4	5	45	
Going to Grandpa's House	Kaeden Group	F	Dark Blue	90	4	4	4	42	
Going to School	Rigby	F	Dark Blue	7	6	1	1	21	
Going to the Beach	Sundance	F	Dark Blue	61	4	3	4		
Going to Work	Literacy Tree	F	Dark Blue	57	24	3	4	58	
Goldilocks and the Three Bears	Sundance Alphakids	F	Green	40	6	9	9	275	
Goldilocks and the Three Bears	Literacy Tree	F	Orange	tales	9	13	14	250	
Gone Away Lake	Scholastic	F	Neon Red	13	1				
Good Night Little Brother	Literacy Tree	F	Green	49	6	10	10		
Good Night, Little Brother	Literacy 2000	F	Green	52	1	10	10	68	
Goodbye, Fox	Harcourt Brace	F	Dark Blue	9	30	3	3	27	
Goodbye, Fox	Harcourt Brace	F	Dark Blue	68	30	3	3	27	
Goodbye, Perky	Twig Books	F	Green	28a	7	7	7		
Goodness Gracious	Literacy 2000	F	Orange	10	7	16	16	190	
Goodnight, Peter	Windmill Books	F	Orange	nm1	3				
Grandad's Mask	Literacy Tree	F	Red	35	1	18	18	250	
Granddad	Literacy Tree	F	Red	58	7	20	20	250	
Grandma Moves In	Rigby	F	Red	10	5	16	17		
Grandma's Memories	Literacy 2000	F	Green	54	23	10	10	102	
Grandpa Comes to Stay	Mondo	F	Yellow	77	10	24	24		
Grandpa Knits Hats	Wright Group	F	Green	32	5	7	7	55	
Grandpa Snored	Literacy Tree	F	Green	54	14	10	10	51	
Grandpa's Birthday	Literacy Tree	F	Red	24	7	18	20	135	
Grandpa's Mountain	Avon	F	Purple	54	1				
Graven Images	Scholastic	F	Purple	23	2				
Great Day for Up	Seuss	F	Orange						
Greedy Cat	Cowley	F	Orange	29	1	13	13		
Greedy Cat is Hungry	Learning Media 	F	Orange	29	6	13	13		
Green Bananas	Rigby	F	Green	51	2				
Green Footprints	Literacy Tree	F	Green	17	23	6	6	50	
Gregory the Grumblesome Giant	Literacy Tree	F	Orange	21	9	12	12	212	
Gribblegrot from Outer Space	Literacy 2000	F	Yellow	76	4	24	24	250	
Grizzly and the Bumble-bee	Sunshine	F	Yellow	23	2	21	22		
Grocery Shopping	Kaeden Group	F	Dark Blue	64	3	3	3	34	
Group Nests	Wright Group	F	Dark Blue	60	6	3	3		
Grumbles, Growls, and Roars	Wright Group	F	Green	63	5	10	10		
Guess What	Literacy Tree	F	Dark Blue	32	2	8	8	28	
Guess What Kind of Ball	Kaeden Group	F	Green	32	3	g	g		
Gulp!	Wright Group	F	Green	18	3	5	6	103	
Gypsy in the Cellar	Perfection Learning	F	Lime	47	7	40	40		
Hairy Bear	The Story Box	F	Green						
Half for You Half for Me	Literacy Tree	F	Red	31	2	18	18	250	
Hands	Bookshelf	F	Orange	2	1	9	10		
Hannah	Book Blazers	F	Lime	21	1				
Hannah 	ETA Cuisenaire	F	Lime	54	4	40	40		
Hannah and the Golden Thread	ETA Cuisenaire	F	Lime	54	2	40	40		
Hannah's Voyage	Book Blazers	F	Lime	24	11				
Happy Birthday	Literacy Tree	F	Dark Blue	79	21	3	4	28	
Happy Birthday, Duckling	Literacy Tree	F	Orange	22	4	12	12	154	
Happy Face, Sad Face	Wright Group	F	Dark Blue	100	6	4	5	76	
Happy Holidays	Dominie Press	F	Dark Blue	28	5	2	2	27	
Happy Mother's Day	Teacher's Choice Series	F	Orange	8	6	12	12		
Hare Rescues the Sun	Book Treks	F	Neon Red	9	6				
Harriet the Spy	Harper Trophy	F	Purple	32	7				
Harry and the Terrible Whatzit	Clarion	F	Red	67	2	18	20		
Harry The Dirty Dog	Trumpet	F	Red	47	1	18	20		
Hat Sale, The	Literacy 2000	F	Green						
Hat Trick	Literacy Tree	F	Dark Blue	67	29	3	3	38	
Hatchet	Paulsen	F	Lime	64	3	40	40		
Hats	Dominie 	F	Green	55	3	9	10	99	
Hats Hats Hats	Scholastic	F	Green	10	10	9	10		
Have You Seen a Javelina	Literacy Tree	F	Yellow	7	1	20	20	250	
Have You Seen a Javelina?	Literacy 2000	F	Red	56	4	20	20	250	
Have you Seen a Javelina?	Literacy 2000	F	Yellow	24	2	21	22	250	
Hay Making	Wright Group	F	Green	49	6	10	10		
He Likes She Likes -Book 9	Scholastic	F	Dark Blue	77	5				
Heads and Tails Tick-Tock (Tails)	Steck-Vaughn	F	Dark Blue	92	2	3	4	53	
Healthy Food	Rigby	F	Orange		6				
Hedgehog is hungry	Rigby 	F	Dark Blue	72	21	3	3	76	
Hedgie Loves to Read	Brett - Scholastic	F	Light Blue	71	20	28	30		
Hedgie Loves to Read	Scholastic	F	Yellow	125	6	28	30		
Hello Goodbye	Literacy Tree	F	Dark Blue	49	23	2	2	29	
Hello, Mrs. Piggle-Wiggle	MacDonald	F	Light Blue	8	10				
Help for Rose	Literacy Footprints	F	Orange		5				
Help fpr Rosie	Literacy Footprints	F	Orange	44	5	14	14	165	
Help! Said Jed	Harcourt Brace	F	Dark Blue	3	1	1	1	35	
Henry and Mudge and the Bedtime Thumps	Rylant /Stevenson	F	Red	73	12	18	20		
Henry and Mudge and the Best Day of All	Rylant /Stevenson	F	Red	71	10	18	20		
Henry and Mudge and the Careful Cousin	Rylant /Stevenson	F	Red	73	4	18	20		
Henry and Mudge and the Cold Shivers	Rylant /Stevenson	F	Red	72	4	18	20		
Henry and Mudge and the Forever Sea	Rylant /Stevenson	F	Red	76	8	18	20		
Henry and Mudge and the Happy Cat	Rylant /Stevenson	F	Red	76	7	18	20		
Henry and Mudge and the Long Weekend	Rylant /Stevenson	F	Red	1		18	20		
Henry and Mudge and the Wild Wind	Rylant /Stevenson	F	Red	74	8	18	20		
Henry and Mudge in Puddle Trouble	Rylant /Stevenson	F	Red	74	7	18	20		
Henry and Mudge in the Sparkle Day	Rylant /Stevenson	F	Red	72	9	18	20		
Henry and Mudge Take The Big Test	Rylant /Stevenson	F	Red	75	8	18	20		
Henry and Mudge The First Book	Rylant /Stevenson	F	Red	71	3	18	20		
Henry and Mudge Under the Yellow Moon	Rylant /Stevenson	F	Red	74	7	18	20		
Henry and Ribsy	Cleary	F	Light Blue	9	3	38	38		
Henry and the Clubhouse	Cleary	F	Light Blue			38	38		
Henry and the Helicopter	Literacy Tree	F	Green	12	26	5	6	58	
Henry Higgins	Cleary	F	Light Blue	72	9	38	38		
Herbie Jones 	Scholastic	F	Light Blue	75	1	38	38		
Herbie Jones and the Dark Attic	Scholastic	F	Light Blue	75	1	38	38		
Herbie Jones and the Monster Ball	Puffin	F	Light Blue	1	2	36	37		
Here come the shapes	Rigby	F	Green	28	7	6	6	118	
									
Here comes Little Chimp	Rigby	F	Dark Blue	53	1	3	3		
Here comes the shapes	Rigby	F	Green	23A	2	6	6		
Here Comes Winter	Troll Associates	F	Orange	nm3	1				
Here we Go Round the Mulberry Bush	Houghton Mifflin	F	Green	poetry	7	5	6	187	
Here's a House	Wright Group	F	Dark Blue	5	7	1	1	32	
Here's a house	Windmill Books	F	Dark Blue	9	1	1	1		
Here's What I Made	Literacy 2000	F	Dark Blue	68	29	3	3	38	
Hermie the Crab	Rigby	F	Red	19	4	18	18		
Hermit Crab	Rigby PM	F	Green	35	1	8	8		
Hiccups	Mondo	F	Red	17	15	17	17		
Hide and seek	Rigby Smart Start	F	Dark Blue	40	6	2	2	38	
Hide and Seek	Rigby PM 	F	Dark Blue	85	21	4	4	108	
Hippo's Hiccups	Literacy Tree	F	Orange	20	4	12	12	208	
Hiroshima	Scholastic	F	Lime	59	3	40	40		
Hitty	Trumpet	F	Purple	24	3				
Holding The Yellow Rabbit	Perfection Learning	F	Light Blue	66	6	36	37		
Holes	Yearling	F	Lime	68	7	44	44		
Home for Nellie	Celebration Press	F	Light Blue	66	1				
Homer Price	Scholastic	F	Lime	38	4	36	37		
Homesick My Own Story	Fritz	F	Light Blue	39	11				
Homesick My Own Story	Fritz	F	Neon Red	23	20	60	60		
Honey for Baby Bear	Rigby PM	F	Green	65	5	10	10	200	
Hooray for Rhody!	Book Treks	F	Light Blue	13	12				
Hop to it, Minty	Rigby	F	Yellow	111	16	28	28		
Hop, Hop	Steck-Vaughn	F	Dark Blue	24	12				
Horrible Harry and The Ant Invasion	Kline	F	Yellow	45	1	23	24	250	
Horrible Harry and The Green Slime	Kline	F	Yellow	68	6	23	24	250	
Horrible Harry's Secret	Kline	F	Yellow	45	1	23	24	250	
Hot	Steck-Vaughn	F	Green						
Hot dogs	Rigby PM	F	Dark Blue	74	20	3	4	84	
Hot Potato and Cold Potato	Wright Group	F	Dark Blue	84	5	4	4	77	
House and homes	Rigby PM	F	Orange	15	2	11	12		
House hunting	Rigby PM	F	Orange	17	1	12	12		
Houses and Homes	Rigby	F	Orange	5	3	11	12		
Houses and homes (Poetry)	Rigby PM Collection	F	Orange	1P	1	11	12		
How 100 Dandelions Grew	Harcourt Brace	F	Orange	29	1	13	14	73	
How Big Is A Foot	Myller	F	Yellow	69	1	24	24		
How Lizard Lost His Colors	Literacy Tree	F	Orange						
How Many Legs?	Outside the box		Green						
How Spiders Live	Sunshine Books	inFormational	Green						
How To Be Cool in Third Grade	Scholastic	F	Light Blue	34	6				
How to Eat Fried Worms	Rockwell	F	Lime	1	1	40	40		
How to Fight a Girl		F	Light Blue	35	7				
How To Fight A Girl	Dell	F	Purple	23	1				
How to Handle a Vivid Imagination	Literacy Tree	F	Light Blue	74	1	34	38		
How to Make a Card	Kaeden Group	F	Orange	3	3	11	11		
How to Make a Hot Dog	Wright Group	F	Dark Blue	77	3	3	4	48	
How to Make Can Stilts	Wright Group	F	Dark Blue	78b	5	3	4	28	
How Turtle Raced Beaver	Literacy Tree	F	Red	Tales	4	18	18	182	
Howliday Inn	Howe	F	Light Blue	40	2	38	38		
Huberta the Hiking Hippo	Literacy Tree	F	Yellow	67	2	23	24	250	
Huge Red Plume	Electronic Education	F	Orange						
Humphrey	Gibson	F	Light Blue	11	8	34	34	250	
Hungry Bear	Rigby	F	Dark Blue	79	3	3	4	22	
Hungry Horse	Literacy 2000	F	Green	34	3	7	8	35	
Hungry Kitten	Dominie Press	F	Dark Blue	78	4	3	4	50	
Hungry Kitten	Dominie Press	F	Dark Blue	78b	6	3	4	50	
Hurrican Power	Nelson	F	Neon Red	19	1				
I Am a Cat	Literacy Tree	F	Dark Blue	84	2	4	4	65	
I am Climbing	Literacy Tree	F	Dark Blue	24	15	2	2	22	
I am running	Rigby PM Plus	F	Dark Blue	4	8	1	1	24	
I Can Do It	Mondo	F	Orange	12	8	12	12		
I Can Do It	Mondo	F	Red	1	4	16	16		
I Can do it Myself	Literacy Tree	F	Dark Blue	67	30	3	3	37	
I Can Do It, I Really Can	Dominie Collection	F	Orange	8	5	12	12	195	
I Can Find	Dominie Collection	F	Green	39	6	7	8	131	
I Can Make Music	Sundance	F	Dark Blue	27	7	2	2	41	
I Can Paint	Wright Group	F	Dark Blue	14	2	1	1	35	
I Can Read	Dominie Press	F	Dark Blue	78b	5	3	4	38	
I Can Taste	Dominie Press	F	Dark Blue	78a	7	3	4	31	
I Don't Think It's Fair	Teacher's Choice Series	F	Orange	8	5	12	12	147	
I Don't Think It's Fair	Dominie Collection	F	Orange		5				
I Fixed Breakfast	Dominie Collection	F	Orange		5				
I Fixed Breakfast	Dominie Collection	F	Orange		5				
I Fixed Breakfast	Teacher's Choice Series	F	Orange						
I get the Creeps	Gage	F	Red	nm1	1				
I Have a Pet	Gage	F	Green	62	3				
I Have A Question, Grandma	Literacy 2000	F	Orange	15	1	12	12	124	
I Like	Literacy Tree	F	Dark Blue	52	10	3	3	24	
I Like Balloons	Dominie 	F	Dark Blue	11	3	2	2	27	
I Like Painting	Sundance	F	Dark Blue	90	7	4	4	68	
I like to eat	Literacy Tree	F	Dark Blue		3	1	1	41	
I Like to Paint	Dominie Press	F	Dark Blue	11	2	2	2	56	
I Love Camping	Dominie Collection	F	Green	40	1	8	8	83	
I Love Cats	Children's Press- Rookie Reader	F	Green	37	7	7	8	116	
I love cats	Mondo - Book Shop	F	Orange	9	1	13	13		
I Love Cats	Book Shop	F	Orange						
I Love Cats	Mondo	F	Red	7	3	16	17	104	
I Love the Beach	Literacy Tree	F	Yellow	99	4	28	28	250	
I paint	Literacy Tree	F	Dark Blue	17	20	2	2	22	
I Read	Dominie 	F	Dark Blue	11	5	2	2	38	
I Remember	Rigby	F	Green	42	10	9	9	60	
I saw a Dinosaur	Literacy 2000	F	Orange	20	13	12	12	55	
I saw a Sign	Rigby Literacy Tree	F	Orange		2				
I See	Dominie Press	F	Dark Blue	78b	1	3	4	29	
I Spy	Literacy Tree	F	Dark Blue	69	21	3	3	25	
I Spy A School Bus	Scholastic	F	Red	1	6	16	17		
I Spy Funny Teeth	Scholastic	F	Red	1	5	16	17		
Ice Cream Supreme	Book Blazers	F	Lime	50	9	40	40		
Identity Kit	Rigby	F	Yellow	92	12	27	27		
If I Had an Elephant	Dominie Collection	F	Orange		5				
If I Had an Elephant	Teacher's Choice Series	F	Orange						
If You're Happy	Literacy Tree	F	Dark Blue	82	17	4	4	179	
Iggies House	Dell	F	Lime	37	6				
Iguana	Houghton Mifflin	F	Orange		6				
I'm King of the Mountain	Learning Media	F	Orange	12a	5	12	12	285	
I'm Looking for My Hat	Wright Group	F	Green	63	5	10	10		
I'm the Captain	Houghton Mifflin	F	Orange	28	6	1	1		
I'm the Captain	Houghton Mifflin	F	Orange	nm2	6				
In a Minute	Literacy Tree	F	Green	9a	14	5	6	74	
In My Bed	Literacy Tree	F	Dark Blue	59	27	3	4	57	
In My Room	Literacy 2000	F	Dark Blue	88	21	4	4	44	
In our classroom	Rigby PM	F	Dark Blue	10	7	1	1	33	
In the Bathroom	Rigby	F	Dark Blue	37	2	2	2	24	
